X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.237718,42.069456,0,0,55,300,2022/05/21 11:11:47+00,,,,,,,,,,,,,,,,,,,,,
-84.23736,42.069295,0,0,56,300,2022/05/21 11:12:14+00,,,,,,,,,,,,,,,,,,,,,
-84.237152,42.069257,0,0,57,300,2022/05/21 11:12:28+00,,,,,,,,,,,,,,,,,,,,,
-84.237013,42.069278,0,0,58,300,2022/05/21 11:12:39+00,,,,,,,,,,,,,,,,,,,,,
-84.23695,42.069306,0,0,59,300,2022/05/21 11:12:43+00,,,,,,,,,,,,,,,,,,,,,
-84.236882,42.069313,0,0,60,300,2022/05/21 11:12:47+00,,,,,,,,,,,,,,,,,,,,,
-84.236856,42.069295,0,0,61,300,2022/05/21 11:12:49+00,,,,,,,,,,,,,,,,,,,,,
-84.236821,42.06924,0,0,62,300,2022/05/21 11:12:53+00,,,,,,,,,,,,,,,,,,,,,
-84.236813,42.069187,0,0,63,300,2022/05/21 11:12:58+00,,,,,,,,,,,,,,,,,,,,,
-84.236832,42.069114,0,0,64,300,2022/05/21 11:13:04+00,,,,,,,,,,,,,,,,,,,,,
-84.236863,42.069049,0,0,65,300,2022/05/21 11:13:10+00,,,,,,,,,,,,,,,,,,,,,
-84.23692,42.068989,0,0,66,300,2022/05/21 11:13:16+00,,,,,,,,,,,,,,,,,,,,,
-84.237154,42.068834,0,0,67,300,2022/05/21 11:13:35+00,,,,,,,,,,,,,,,,,,,,,
-84.237227,42.068758,0,0,68,300,2022/05/21 11:13:43+00,,,,,,,,,,,,,,,,,,,,,
-84.237267,42.068688,0,0,69,300,2022/05/21 11:13:50+00,,,,,,,,,,,,,,,,,,,,,
-84.237272,42.06865,0,0,70,300,2022/05/21 11:13:53+00,,,,,,,,,,,,,,,,,,,,,
-84.237259,42.068615,0,0,71,300,2022/05/21 11:13:56+00,,,,,,,,,,,,,,,,,,,,,
-84.237179,42.068526,0,0,72,300,2022/05/21 11:14:05+00,,,,,,,,,,,,,,,,,,,,,
-84.237069,42.068378,0,0,73,300,2022/05/21 11:14:20+00,,,,,,,,,,,,,,,,,,,,,
-84.236988,42.068303,0,0,74,300,2022/05/21 11:14:28+00,,,,,,,,,,,,,,,,,,,,,
-84.236953,42.068249,0,0,75,301.4,2022/05/21 11:14:33+00,,,,,,,,,,,,,,,,,,,,,
-84.236937,42.068219,0,0,76,300,2022/05/21 11:14:35+00,,,,,,,,,,,,,,,,,,,,,
-84.236947,42.068127,0,0,77,300,2022/05/21 11:14:43+00,,,,,,,,,,,,,,,,,,,,,
-84.236968,42.068098,0,0,78,300,2022/05/21 11:14:45+00,,,,,,,,,,,,,,,,,,,,,
-84.237113,42.068081,0,0,79,302,2022/05/21 11:14:53+00,,,,,,,,,,,,,,,,,,,,,
-84.237233,42.068039,0,0,80,302,2022/05/21 11:15:01+00,,,,,,,,,,,,,,,,,,,,,
-84.237415,42.068071,0,0,81,300,2022/05/21 11:15:13+00,,,,,,,,,,,,,,,,,,,,,
-84.237437,42.068048,0,0,82,302,2022/05/21 11:15:15+00,,,,,,,,,,,,,,,,,,,,,
-84.237474,42.067958,0,0,83,302,2022/05/21 11:15:23+00,,,,,,,,,,,,,,,,,,,,,
-84.237486,42.06791,0,0,84,302,2022/05/21 11:15:28+00,,,,,,,,,,,,,,,,,,,,,
-84.237474,42.06788,0,0,85,301,2022/05/21 11:15:31+00,,,,,,,,,,,,,,,,,,,,,
-84.237379,42.067839,0,0,86,302,2022/05/21 11:15:37+00,,,,,,,,,,,,,,,,,,,,,
-84.237243,42.067736,0,0,87,300,2022/05/21 11:15:49+00,,,,,,,,,,,,,,,,,,,,,
-84.237194,42.067674,0,0,88,300,2022/05/21 11:15:55+00,,,,,,,,,,,,,,,,,,,,,
-84.237179,42.067639,0,0,89,300,2022/05/21 11:15:58+00,,,,,,,,,,,,,,,,,,,,,
-84.237177,42.067599,0,0,90,300,2022/05/21 11:16:01+00,,,,,,,,,,,,,,,,,,,,,
-84.237197,42.067567,0,0,91,300,2022/05/21 11:16:03+00,,,,,,,,,,,,,,,,,,,,,
-84.237366,42.06741,0,0,92,300,2022/05/21 11:16:20+00,,,,,,,,,,,,,,,,,,,,,
-84.237393,42.067339,0,0,93,300,2022/05/21 11:16:26+00,,,,,,,,,,,,,,,,,,,,,
-84.23742,42.067307,0,0,94,300,2022/05/21 11:16:29+00,,,,,,,,,,,,,,,,,,,,,
-84.237502,42.067266,0,0,95,300,2022/05/21 11:16:35+00,,,,,,,,,,,,,,,,,,,,,
-84.237529,42.067235,0,0,96,300,2022/05/21 11:16:38+00,,,,,,,,,,,,,,,,,,,,,
-84.237578,42.067143,0,0,97,300,2022/05/21 11:16:47+00,,,,,,,,,,,,,,,,,,,,,
-84.237664,42.066848,0,0,98,300,2022/05/21 11:17:12+00,,,,,,,,,,,,,,,,,,,,,
-84.23773,42.066674,0,0,99,300,2022/05/21 11:17:27+00,,,,,,,,,,,,,,,,,,,,,
-84.237813,42.06655,0,0,100,300,2022/05/21 11:17:39+00,,,,,,,,,,,,,,,,,,,,,
-84.237795,42.066514,0,0,101,300,2022/05/21 11:17:42+00,,,,,,,,,,,,,,,,,,,,,
-84.237679,42.066401,0,0,102,301,2022/05/21 11:17:53+00,,,,,,,,,,,,,,,,,,,,,
-84.237618,42.066318,0,0,103,300,2022/05/21 11:18:01+00,,,,,,,,,,,,,,,,,,,,,
-84.237594,42.066249,0,0,104,297,2022/05/21 11:18:07+00,,,,,,,,,,,,,,,,,,,,,
-84.237593,42.066212,0,0,105,297,2022/05/21 11:18:10+00,,,,,,,,,,,,,,,,,,,,,
-84.237605,42.066177,0,0,106,299,2022/05/21 11:18:13+00,,,,,,,,,,,,,,,,,,,,,
-84.237801,42.065985,0,0,107,300,2022/05/21 11:18:33+00,,,,,,,,,,,,,,,,,,,,,
-84.237862,42.065954,0,0,108,300,2022/05/21 11:18:38+00,,,,,,,,,,,,,,,,,,,,,
-84.238015,42.065827,0,0,109,300,2022/05/21 11:18:53+00,,,,,,,,,,,,,,,,,,,,,
-84.238066,42.06577,0,0,110,300,2022/05/21 11:18:59+00,,,,,,,,,,,,,,,,,,,,,
-84.238058,42.065738,0,0,111,300,2022/05/21 11:19:02+00,,,,,,,,,,,,,,,,,,,,,
-84.237943,42.065575,0,0,112,300,2022/05/21 11:19:17+00,,,,,,,,,,,,,,,,,,,,,
-84.237939,42.065538,0,0,113,300,2022/05/21 11:19:20+00,,,,,,,,,,,,,,,,,,,,,
-84.237951,42.065504,0,0,114,300,2022/05/21 11:19:23+00,,,,,,,,,,,,,,,,,,,,,
-84.237983,42.065485,0,0,115,300,2022/05/21 11:19:25+00,,,,,,,,,,,,,,,,,,,,,
-84.238193,42.065415,0,0,116,300,2022/05/21 11:19:39+00,,,,,,,,,,,,,,,,,,,,,
-84.238252,42.065374,0,0,117,300,2022/05/21 11:19:45+00,,,,,,,,,,,,,,,,,,,,,
-84.238274,42.065232,0,0,118,300,2022/05/21 11:19:57+00,,,,,,,,,,,,,,,,,,,,,
-84.238057,42.065145,0,0,119,300,2022/05/21 11:20:12+00,,,,,,,,,,,,,,,,,,,,,
-84.23803,42.065116,0,0,120,300,2022/05/21 11:20:15+00,,,,,,,,,,,,,,,,,,,,,
-84.238032,42.065084,0,0,121,300,2022/05/21 11:20:18+00,,,,,,,,,,,,,,,,,,,,,
-84.238064,42.065027,0,0,122,300,2022/05/21 11:20:23+00,,,,,,,,,,,,,,,,,,,,,
-84.238152,42.065004,0,0,123,300,2022/05/21 11:20:29+00,,,,,,,,,,,,,,,,,,,,,
-84.238356,42.064989,0,0,124,300,2022/05/21 11:20:42+00,,,,,,,,,,,,,,,,,,,,,
-84.238386,42.064961,0,0,125,300,2022/05/21 11:20:45+00,,,,,,,,,,,,,,,,,,,,,
-84.23845,42.06479,0,0,126,300,2022/05/21 11:21:00+00,,,,,,,,,,,,,,,,,,,,,
-84.238448,42.064751,0,0,127,300,2022/05/21 11:21:03+00,,,,,,,,,,,,,,,,,,,,,
-84.238426,42.064725,0,0,128,300,2022/05/21 11:21:05+00,,,,,,,,,,,,,,,,,,,,,
-84.238207,42.06463,0,0,129,300,2022/05/21 11:21:20+00,,,,,,,,,,,,,,,,,,,,,
-84.238187,42.064602,0,0,130,300,2022/05/21 11:21:23+00,,,,,,,,,,,,,,,,,,,,,
-84.238182,42.064523,0,0,131,299,2022/05/21 11:21:29+00,,,,,,,,,,,,,,,,,,,,,
-84.238197,42.064384,0,0,132,300,2022/05/21 11:21:41+00,,,,,,,,,,,,,,,,,,,,,
-84.238223,42.064282,0,0,133,300,2022/05/21 11:21:49+00,,,,,,,,,,,,,,,,,,,,,
-84.238268,42.064175,0,0,134,300,2022/05/21 11:21:58+00,,,,,,,,,,,,,,,,,,,,,
-84.238317,42.064125,0,0,135,301,2022/05/21 11:22:03+00,,,,,,,,,,,,,,,,,,,,,
-84.238351,42.064004,0,0,136,300,2022/05/21 11:22:13+00,,,,,,,,,,,,,,,,,,,,,
-84.238395,42.063906,0,0,137,300,2022/05/21 11:22:22+00,,,,,,,,,,,,,,,,,,,,,
